player_name,IP,hr,k,bb,K%,BB%,hbp,xSLG,wOBA,xwOBA
"Fernandez, Ryan",30.1,6,34,16,24.3,11.4,1,0.404,0.382,0.313
"Muñoz, Roddery",11,4,14,9,27.5,17.6,0,0.557,0.39,0.418
"Alvarado, Elvis",42.1,6,50,22,27.3,12,2,0.362,0.305,0.304
"Gómez, Yoendrys",62.2,12,58,27,20.9,9.7,4,0.467,0.335,0.347
"Alvarado, José",26,4,32,7,28.1,6.1,1,0.404,0.31,0.297
"Bolton, Cody",2,0,1,0,10,0,0,0.532,0.39,0.382
"Blalock, Bradley",58.2,17,27,23,9.8,8.4,3,0.591,0.423,0.409
"Duran, Jhoan",70,3,80,19,27.9,6.6,3,0.296,0.248,0.248
"Alexander, Tyler",97.2,9,82,30,19.4,7.1,2,0.438,0.318,0.332
"Pressly, Ryan",41.1,6,28,17,15.4,9.3,2,0.439,0.356,0.35
"Díaz, Edwin",66.1,4,98,21,38,8.1,8,0.264,0.234,0.247
"Webb, Jacob",66,10,58,19,21.7,7.1,2,0.365,0.27,0.281
"Misiorowski, Jacob",66,8,87,30,32,11,3,0.344,0.298,0.288
"Bird, Jake",55.1,7,66,25,26.6,10.1,3,0.373,0.34,0.305
"Hicks, Jordan",67.1,6,58,32,18.5,10.2,8,0.381,0.364,0.33
"Hoffmann, Andrew",12,2,12,10,19.7,16.4,0,0.479,0.384,0.374
"Martinez, Nick",165.2,22,116,42,17,6.1,6,0.41,0.317,0.312
"Rea, Colin",159.1,20,127,44,19.2,6.6,6,0.438,0.314,0.328
"Lawrence, Casey",17.2,2,7,1,8.8,1.3,1,0.599,0.361,0.421
"Wiles, Nathan",1,0,1,0,14.3,0,0,0.637,0.557,0.424
"Gaddis, Hunter",66.2,8,73,21,26.6,7.7,1,0.384,0.293,0.298
"Boyle, Joe",52,6,58,28,25.7,12.4,3,0.378,0.312,0.312
"Dollander, Chase",98,18,82,49,18.6,11.1,6,0.448,0.354,0.347
"Holman, Grant",23,3,17,9,16.5,8.7,1,0.48,0.335,0.352
"Garabito, Gerson",8,1,8,1,19.5,2.4,2,0.484,0.421,0.371
"Woodruff, Brandon",64.2,9,83,14,32.3,5.4,3,0.299,0.252,0.233
"Alcantara, Sandy",174.2,22,142,57,19.1,7.7,9,0.436,0.311,0.332
"Halvorsen, Seth",39.2,7,36,20,20.9,11.6,0,0.417,0.364,0.323
"France, J.P.",4,0,5,2,31.3,12.5,0,0.395,0.22,0.316
"Bibee, Tanner",182.1,27,162,54,21.3,7.1,10,0.385,0.313,0.297
"Morán, Jovani",4,0,5,3,25,15,0,0.343,0.359,0.309
"Yoho, Craig",8.2,1,7,9,17.1,22,1,0.288,0.388,0.325
"Van Belle, Brian",8.1,2,6,0,16.7,0,0,0.416,0.393,0.292
"Burke, Sean",134.1,23,133,63,22.3,10.6,6,0.457,0.34,0.342
"Adam, Jason",65.1,4,70,25,25.9,9.3,3,0.309,0.256,0.26
"Enright, Nic",31,3,30,12,23.6,9.4,2,0.365,0.279,0.303
"Kriske, Brooks",18,1,18,15,20.5,17,0,0.353,0.366,0.33
"Morillo, Juan",34.1,2,36,20,23.7,13.2,1,0.326,0.363,0.301
"Díaz, Alexis",17.2,6,17,12,20,14.1,5,0.493,0.399,0.384
"Fermin, José",34.1,8,39,23,25.7,15.1,1,0.399,0.318,0.314
"Hanifee, Brenan",60,3,40,14,15.4,5.4,2,0.418,0.299,0.315
"Hill, Jaden",29.1,2,31,12,24,9.3,3,0.332,0.309,0.285
"Stratton, Hunter",19,3,16,7,18,7.9,3,0.49,0.354,0.377
"Cosgrove, Tom",4,0,3,1,18.8,6.3,0,0.188,0.209,0.19
"Allen, Logan",156.2,18,122,62,18,9.2,6,0.421,0.323,0.326
"Altavilla, Dan",29,4,21,15,17.5,12.5,4,0.381,0.307,0.333
"Gordon, Colton",86,21,72,19,19,5,2,0.471,0.367,0.332
"Ramírez, Yohan",33.1,4,45,16,29,10.3,4,0.409,0.324,0.328
"Gilbert, Tyler",51,5,49,24,22.8,11.2,2,0.404,0.291,0.312
"Ashcraft, Braxton",69.2,3,71,24,24.3,8.2,2,0.35,0.286,0.288
"Rasmussen, Drew",150,18,127,37,21.7,6.3,5,0.375,0.269,0.291
"Brash, Matt",47.1,4,58,18,29.1,9,2,0.336,0.288,0.282
"Jansen, Kenley",59,8,57,19,24.4,8.1,1,0.425,0.246,0.301
"Lopez, Jacob",92.2,15,113,37,28.3,9.3,8,0.369,0.317,0.297
"Chafin, Andrew",33.2,2,36,19,25.2,13.3,0,0.319,0.292,0.29
"Mattson, Isaac",47.2,4,45,19,22.7,9.6,2,0.361,0.264,0.283
"Whisenhunt, Carson",23.1,6,16,12,15.7,11.8,2,0.524,0.372,0.386
"Montgomery, Mason",46,6,63,27,30.1,12.9,1,0.401,0.354,0.33
"Weaver, Luke",64.2,10,72,20,27.5,7.6,1,0.359,0.269,0.268
"Kelly, Michael",39.2,5,29,19,17.5,11.4,1,0.445,0.301,0.338
"Montes De Oca, Christian",2.2,0,2,1,22.2,11.1,0,0.061,0.077,0.123
"Domínguez, Seranthony",62.2,5,79,36,30.3,13.8,2,0.297,0.28,0.282
"Zastryzny, Rob",22,3,20,10,21.5,10.8,1,0.357,0.268,0.283
"Lange, Alex",1,0,1,1,16.7,16.7,0,0.286,0.409,0.306
"Paddack, Chris",158,31,112,37,16.7,5.5,3,0.488,0.336,0.344
"Bellozo, Valente",81.1,15,54,23,15.5,6.6,4,0.51,0.339,0.35
"Bieber, Shane",40.1,8,37,7,23.3,4.4,1,0.465,0.293,0.327
"Schultz, Paxton",24.2,4,28,8,25.5,7.3,1,0.385,0.346,0.302
"Fairbanks, Pete",60.1,7,59,18,24.2,7.4,1,0.338,0.269,0.275
"Zimmermann, Bruce",6,2,1,2,3.6,7.1,0,0.409,0.352,0.322
"Raquet, Nick",2,0,1,1,14.3,14.3,0,0.165,0.099,0.208
"Schmidt, Clarke",78.2,9,73,30,23.1,9.5,1,0.339,0.277,0.272
"Civale, Aaron",102,16,88,33,20.2,7.6,7,0.423,0.323,0.314
"Brown, Hunter",185.1,17,206,57,28.3,7.8,7,0.339,0.262,0.277
"Suarez, José",19.1,1,16,10,19.8,12.3,0,0.393,0.27,0.317
"Spence, Mitch",84.2,16,66,26,17.6,6.9,4,0.508,0.35,0.363
"López, Jorge",24.2,1,17,6,16.2,5.7,3,0.468,0.302,0.354
"Bradley, Taj",142.2,19,127,56,21,9.3,4,0.405,0.314,0.314
